language,error_type,buggy_code,fixed_code,line_no
C++,UnusedVariable,"int x = 10;
cout << ""Hi"";","cout << ""Hi"";",1.0
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3.0
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1.0
Python,MissingDelimiter,"class Animal
    pass","class Animal:
    pass",1.0
Python,MissingImport,"np.array([1,2,3])","import numpy as np
np.array([1,2,3])",1.0
C,MissingDelimiter,"while (1) {
    break
}","while (1) {
    break;
}",2.0
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1.0
Java,TypeMismatch,String result = 34;,,
C,InvalidAssignment,getValue() = result;,,
Python,UnreachableCode,"return
print('Hi')",print('Hi'),2.0
Python,NoError,def is_positive(n):\n    return n > 0,def is_positive(n):\n    return n > 0,
Java,TypeMismatch,String name = true;,,
C++,UnreachableCode,"return 0;
cout << ""Hi"";","cout << ""Hi"";",2.0
Python,UnclosedString,"error_msg = ""File not found: "" + filename + ""
raise FileNotFoundError(error_msg)",,
C++,TypeMismatch,"int x = ""5"";",int x = 5;,1.0
C++,InfiniteLoop,"#include <iostream>
using namespace std;
int main() {
    while (true) {
        cout << ""forever"" << endl;
    }
    return 0;
}",,
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1.0
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1.0
C++,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2.0
C,DivisionByZero,"int total = 100;
int count = 0;
int avg = total / count;","int total = 100;
int count = 0;
int avg = (count > 0) ? total / count : 0;",3.0
Java,InfiniteLoop,"public class Main {
    public static void main(String[] args) {
        while (true) {
            System.out.println(""forever"");
        }
    }
}",,
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1.0
Python,IndentationError,"for item in items:
    if item > 0:
    process(item)",,
Python,InvalidAssignment,func() = result,,
Python,MutableDefault,"def add_item(x, lst=[]): lst.append(x)","def add_item(x, lst=None):
    if lst is None: lst = []
    lst.append(x)",1.0
Python,MissingImport,"re.match(r'\d+', '123')","import re
re.match(r'\d+', '123')",1.0
Python,LineTooLong,"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)","result = very_long_function_name(
    arg1, arg2, arg3, arg4,
    arg5, arg6, arg7, arg8
)",1.0
Python,TypeMismatch,"items = '5'
while items > 0:
    items -= 1","items = 5
while items > 0:
    items -= 1",2.0
C++,UndeclaredIdentifier,cout << x;,"int x = 10;
cout << x;",1.0
Python,DivisionByZero,result = 10 / 0,result = 10 / 1  # Avoid division by zero,1.0
Python,TypeMismatch,x = '5' + 3,x = int('5') + 3,1.0
Java,InfiniteLoop,int i = 0; while (i < 10) { System.out.println(i); },int i = 0; while (i < 10) { System.out.println(i); i++; },1.0
Python,WildcardImport,from os import *,"from os import path, getcwd",1.0
C,MissingDelimiter,"char c = 'A'
putchar(c);","char c = 'A';
putchar(c);",1.0
C,DivisionByZero,"float calculate() {
    int denominator = 0;
    return 76 / denominator;
}",,
Python,DivisionByZero,"numbers = [1, 2, 10, 5, 10]
result = 51 / numbers[4]",,
C++,UnclosedString,"string s = ""hello;","string s = ""hello"";",1.0
Python,TypeMismatch,x = '5' + 3,x = int('5') + 3,1.0
Python,NoError,"for i, val in enumerate(data):\n    print(i, val)","for i, val in enumerate(data):\n    print(i, val)",
Python,IndentationError,"def test():
print('error')","def test():
    print('error')",2.0
C,MissingInclude,int main() { sqrt(16); return 0; },"#include <math.h>
int main() { sqrt(16); return 0; }",1.0
Java,DivisionByZero,"public int calculate() {
    int denominator = 0;
    return 69 / denominator;
}",,
Python,MutableDefault,"def add_item(x, lst=[]): lst.append(x)","def add_item(x, lst=None):
    if lst is None: lst = []
    lst.append(x)",1.0
Python,MutableDefault,"def add_item(x, lst=[]): lst.append(x)","def add_item(x, lst=None):
    if lst is None: lst = []
    lst.append(x)",1.0
Java,LineTooLong,"public class Main {
    public static void main(String[] args) {
        String result = someVeryLongMethodName(argumentOne, argumentTwo, argumentThree, argumentFour, argumentFive, argumentSix);
    }
}",,
Python,MissingImport,"np.array([1,2,3])","import numpy as np
np.array([1,2,3])",1.0
Python,WildcardImport,from math import *,"from math import sqrt, pi",1.0
Python,MutableDefault,"def add_item(x, lst=[]): lst.append(x)","def add_item(x, lst=None):
    if lst is None: lst = []
    lst.append(x)",1.0
Python,InfiniteLoop,"while True:
    pass","while condition:
    pass",1.0
C++,InvalidAssignment,5 = x;,int x = 5;,1.0
C++,MissingDelimiter,int x = 10,int x = 10;,1.0
Python,TypeMismatch,z = 'hello' * 'world',,
C++,TypeMismatch,"int x = ""5"";",int x = 5;,1.0
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1.0
Python,LineTooLong,print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),"print(
    'This is an extremely long string '
    'split across multiple lines'
)",1.0
Python,WildcardImport,from random import *,"from random import randint, choice",1.0
C++,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2.0
Python,MissingImport,request.get('url'),"import requests
request.get('url')",1.0
Python,NameError,print(undefined_var),"undefined_var = 10
print(undefined_var)",1.0
Python,NameError,print(x),"x = 10
print(x)",1.0
Java,NoError,"public class Main {\n    public static int add(int a, int b) {\n        return a + b;\n    }\n    public static void main(String[] args) {\n        System.out.println(add(5, 3));\n    }\n}","public class Main {\n    public static int add(int a, int b) {\n        return a + b;\n    }\n    public static void main(String[] args) {\n        System.out.println(add(5, 3));\n    }\n}",
C,DivisionByZero,"float calculate() {
    int denominator = 0;
    return 39 / denominator;
}",,
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2.0
C++,UnreachableCode,"return 0;
cout << ""Hi"";","cout << ""Hi"";",2.0
Python,MutableDefault,"def add_tag(tag, tags=set()):
    tags.add(tag)
    return tags",,
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1.0
C,MissingInclude,int main() { sqrt(16); return 0; },"#include <math.h>
int main() { sqrt(16); return 0; }",1.0
Python,DivisionByZero,x = 10 / 0,x = 10 / 2,1.0
C,UnclosedString,"printf(""Hello);","printf(""Hello"");",1.0
Python,NameError,print(name),"name = 'John'
print(name)",1.0
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1.0
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1.0
Python,InvalidAssignment,"[1, 2, 3] = items",,
C++,InvalidAssignment,10 + 5 = result;,result = 10 + 5;,1.0
Python,DuplicateDefinition,"def f(): pass
def f(): pass",def f(): pass,2.0
Python,IndentationError,"def test():
print('error')","def test():
    print('error')",2.0
Python,InfiniteLoop,"while True:
    pass","while condition:
    pass",1.0
Python,LineTooLong,"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)","result = very_long_function_name(
    arg1, arg2, arg3, arg4,
    arg5, arg6, arg7, arg8
)",1.0
Python,MissingImport,"re.match(r'\d+', '123')","import re
re.match(r'\d+', '123')",1.0
Python,NameError,items = fetch_form_db(),,
Python,MutableDefault,"def update(val, config={}): config['val'] = val","def update(val, config=None):
    if config is None: config = {}
    config['val'] = val",1.0
Python,LineTooLong,print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),"print(
    'This is an extremely long string '
    'split across multiple lines'
)",1.0
Python,UndeclaredIdentifier,"values = [1, 2, 3]
print(total_sum)",,
Python,UnusedVariable,"x = 10
print('Hi')",print('Hi'),1.0
Python,ImportError,"import numpyy
numpyy.array([1,2])","import numpy
numpy.array([1,2])",1.0
Python,UnusedVariable,"x = 10
print('Hi')",print('Hi'),1.0
C++,UnusedVariable,"int main() {
    string name = ""Alice"";
    int age = 30;
    cout << name << endl;
    return 0;
}",,
Python,NameError,print(name),"name = 'John'
print(name)",1.0
Java,DivisionByZero,"int x = 0;
int y = 51 / x;",,
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1.0
Python,MissingImport,"plt.plot([1,2,3], [4,5,6])
plt.show()",,
C++,UnmatchedBracket,"int main() {
  cout << ""Hi"";
","int main() {
  cout << ""Hi"";
}",2.0
Python,UnreachableCode,"def find_max(lst):
    return max(lst)
    result = sorted(lst)[-1]
    return result",,
Python,DivisionByZero,"x = 0
y = 41 / x",,
Python,NameError,total = count * 2,"count = 5
total = count * 2",1.0
Python,MutableDefault,"def add_item(x, items=[]): items.append(x)","def add_item(x, items=None):
    if items is None: items = []
    items.append(x)",1.0
C,UnclosedString,"printf(""Hello);","printf(""Hello"");",1.0
C,DivisionByZero,"int correct = 20;
int total = 0;
int acc = correct / total;","int correct = 20;
int total = 0;
int acc = (total > 0) ? correct / total : 0;",3.0
Python,MutableDefault,"def process(data, cache={}): cache[data] = True","def process(data, cache=None):
    if cache is None: cache = {}
    cache[data] = True",1.0
C,UnusedVariable,"int main() {
    int unused = 42;
    printf(""hello\n"");
    return 0;
}",,
Python,WildcardImport,"from functools import *
f = partial(int, base=16)",,
C,MissingDelimiter,i++,,
C++,TypeMismatch,"string name = ""Alice"";
char ch = name;","string name = ""Alice"";
char ch = name[0];",2.0
Java,MissingDelimiter,int x = 10,int x = 10;,1.0
C,NoError,"#include <stdio.h>\nint main() {\n    int x = 10;\n    if (x > 5) {\n        printf(""Greater\\n"");\n    }\n    return 0;\n}","#include <stdio.h>\nint main() {\n    int x = 10;\n    if (x > 5) {\n        printf(""Greater\\n"");\n    }\n    return 0;\n}",
Python,NoError,"def count_words(text):
    words = text.lower().split()
    counts = {}
    for word in words:
        counts[word] = counts.get(word, 0) + 1
    return counts",,
Python,LineTooLong,print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),"print(
    'This is an extremely long string '
    'split across multiple lines'
)",1.0
Python,WildcardImport,from datetime import *,"from datetime import datetime, timedelta",1.0
Python,InfiniteLoop,"while True:
    pass","while condition:
    pass",1.0
Java,DivisionByZero,int result = 63 / 0;,,
Java,DivisionByZero,double result = 67.0 / 0.0;,,
Java,TypeMismatch,"Object obj = 34 + ""string"";",,
Java,InvalidAssignment,null = value;,,
Python,MissingDelimiter,"def add(a, b)
    return a + b","def add(a, b):
    return a + b",1.0
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1.0
C,UnmatchedBracket,"if (x > 5 { printf(""big""); }","if (x > 5) { printf(""big""); }",1.0
Java,UnclosedString,"System.out.println(""test);","System.out.println(""test"");",1.0
Python,MissingDelimiter,"while count > 0
    count -= 1","while count > 0:
    count -= 1",1.0
Python,MissingImport,df = pd.DataFrame(),"import pandas as pd
df = pd.DataFrame()",1.0
Java,InvalidAssignment,5 = x;,int x = 5;,1.0
Python,MutableDefault,"def append_to(element, lst=[]): lst.append(element)","def append_to(element, lst=None):
    if lst is None: lst = []
    lst.append(element)",1.0
C,InfiniteLoop,"while (1) {
}","while (condition) {
}",1.0
C,MissingDelimiter,int x = 10,int x = 10;,1.0
Python,MutableDefault,"def update(val, config={}): config['val'] = val","def update(val, config=None):
    if config is None: config = {}
    config['val'] = val",1.0
C++,MissingDelimiter,"int sum = a + b
return sum;","int sum = a + b;
return sum;",1.0
Python,MissingDelimiter,"for i in range(5)
    print(i)",,
C,InfiniteLoop,"while (1) {
}","while (condition) {
}",1.0
Python,IndentationError,"def func():
print('Hi')","def func():
    print('Hi')",2.0
Python,LineTooLong,"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)","result = very_long_function_name(
    arg1, arg2, arg3, arg4,
    arg5, arg6, arg7, arg8
)",1.0
C,MissingInclude,"int main() { strlen(""test""); return 0; }","#include <string.h>
int main() { strlen(""test""); return 0; }",1.0
Python,NoError,"data = dict(a=1, b=2, c=3)","data = dict(a=1, b=2, c=3)",
C,MissingDelimiter,float pi = 3.14,float pi = 3.14;,1.0
C,UnmatchedBracket,while (true { break; },while (true) { break; },1.0
C,MissingDelimiter,int x = 50,,
Java,InvalidAssignment,54 = x;,,
C,DivisionByZero,double result = 64.0 / 0.0;,,
C,UnmatchedBracket,"int main() { printf(""Hi""; return 0; }","int main() { printf(""Hi""); return 0; }",1.0
C,MissingDelimiter,break,,
Java,InvalidAssignment,getValue() = result;,,
C++,DivisionByZero,"double a = 50.0;
double b = 0.0;
double c = a / b;","double a = 50.0;
double b = 0.0;
double c = (b != 0) ? a / b : 0;",3.0
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1.0
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1.0
Python,ImportError,"import numpyy
numpyy.array([1,2])","import numpy
numpy.array([1,2])",1.0
Python,MutableDefault,"def append_to(element, lst=[]): lst.append(element)","def append_to(element, lst=None):
    if lst is None: lst = []
    lst.append(element)",1.0
C++,NoError,"#include <iostream>\nusing namespace std;\nint main() {\n    cout << ""Hello, World!"" << endl;\n    return 0;\n}","#include <iostream>\nusing namespace std;\nint main() {\n    cout << ""Hello, World!"" << endl;\n    return 0;\n}",
Java,InvalidAssignment,5 = x;,int x = 5;,1.0
C++,MissingInclude,int main() { cin >> x; return 0; },"#include <iostream>
using namespace std;
int main() { int x; cin >> x; return 0; }",1.0
Python,InvalidAssignment,len(array) = size,,
C++,TypeMismatch,"int *ptr = nullptr;
int value = ptr;","int *ptr = nullptr;
int value = (ptr != nullptr) ? *ptr : 0;",2.0
Java,DivisionByZero,"int total = 100;
int count = 0;
int avg = total / count;","int total = 100;
int count = 0;
int avg = (count > 0) ? total / count : 0;",3.0
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1.0
C,UndeclaredIdentifier,"printf(""%d"", x);","int x = 10;
printf(""%d"", x);",1.0
Python,MissingDelimiter,"def add(a, b)
    return a + b","def add(a, b):
    return a + b",1.0
Python,WildcardImport,from math import *,from math import sqrt,1.0
Python,TypeMismatch,result = 'string' + 33,,
Python,ImportError,"import numpyy
numpyy.array([1,2])","import numpy
numpy.array([1,2])",1.0
Python,DivisionByZero,x = 100 / (5 - 5),"x = 100 / max(5 - 5, 1)",1.0
Python,InvalidAssignment,func() = result,,
C,MissingDelimiter,break,,
Python,NameError,print(x),"x = 10
print(x)",1.0
Java,MissingDelimiter,"System.out.println(""Hi"")","System.out.println(""Hi"");",1.0
Python,DuplicateDefinition,"def f(): pass
def f(): pass",def f(): pass,2.0
C++,TypeMismatch,"int x = ""5"";",int x = 5;,1.0
Java,NoError,"public class Main {\n    public static void main(String[] args) {\n        int[] numbers = {1, 2, 3, 4, 5};\n        System.out.println(numbers[0]);\n    }\n}","public class Main {\n    public static void main(String[] args) {\n        int[] numbers = {1, 2, 3, 4, 5};\n        System.out.println(numbers[0]);\n    }\n}",
C,DivisionByZero,int result = 10 / 0;,int result = 10 / 1;  /* Avoid division by zero */,1.0
C++,MissingInclude,int main() { cin >> x; return 0; },"#include <iostream>
using namespace std;
int main() { int x; cin >> x; return 0; }",1.0
C,TypeMismatch,"double d = ""hello"";",,
Python,NoError,import os,import os,
Java,InvalidAssignment,getValue() = result;,,
Python,DuplicateDefinition,"def f(): pass
def f(): pass",def f(): pass,2.0
C++,DivisionByZero,int r = 75 / (c - c);,"int r = 75 / max(c - c, 1);",1.0
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3.0
Python,IndentationError,"def func():
print('Hi')","def func():
    print('Hi')",2.0
Java,DivisionByZero,int r = 50 / (a - a);,"int r = 50 / Math.max(a - a, 1);",1.0
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1.0
C++,MissingDelimiter,return 0,return 0;,1.0
Python,InfiniteLoop,"while True:
    pass","while condition:
    pass",1.0
Python,LineTooLong,filtered_data = [item for item in all_items if item.status == 'active' and item.category in allowed_categories and item.price < maximum_price],,
C++,MissingInclude,int main() { vector<int> v; return 0; },"#include <vector>
using namespace std;
int main() { vector<int> v; return 0; }",1.0
C++,MissingDelimiter,return 0,return 0;,1.0
Python,ImportError,"import randomm
randomm.randint(1,10)","import random
random.randint(1,10)",1.0
Python,ImportError,"import randomm
randomm.randint(1,10)","import random
random.randint(1,10)",1.0
Java,DivisionByZero,int mod = 60 % 0;,,
Python,WildcardImport,from math import *,"from math import sqrt, pi",1.0
Java,InvalidAssignment,null = value;,,
Python,LineTooLong,print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),"print(
    'This is an extremely long string '
    'split across multiple lines'
)",1.0
Python,WildcardImport,from os import *,"from os import path, getcwd",1.0
C,TypeMismatch,"double d = ""hello"";",,
C++,MissingInclude,int main() { vector<int> v; return 0; },"#include <vector>
using namespace std;
int main() { vector<int> v; return 0; }",1.0
Java,InvalidAssignment,null = value;,,
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1.0
Python,MutableDefault,"def save(record, records=[]):
    records.append(record)
    return len(records)",,
Python,NameError,"for item in uninitialized_list:
    print(item)",,
C++,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2.0
C++,InvalidAssignment,5 = x;,int x = 5;,1.0
Python,MissingImport,"np.array([1,2,3])","import numpy as np
np.array([1,2,3])",1.0
Python,LineTooLong,print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),"print(
    'This is an extremely long string '
    'split across multiple lines'
)",1.0
C,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1.0
Python,NoError,import sys,import sys,
Python,NoError,if x > 0:\n    print('pos')\nelse:\n    print('neg'),if x > 0:\n    print('pos')\nelse:\n    print('neg'),
Python,MutableDefault,"def update(val, config={}): config['val'] = val","def update(val, config=None):
    if config is None: config = {}
    config['val'] = val",1.0
C++,DivisionByZero,"int correct = 20;
int total = 0;
int acc = correct / total;","int correct = 20;
int total = 0;
int acc = (total > 0) ? correct / total : 0;",3.0
C++,MissingDelimiter,int x = 10,int x = 10;,1.0
Python,LineTooLong,print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),"print(
    'This is an extremely long string '
    'split across multiple lines'
)",1.0
Java,TypeMismatch,char c = 16;,,
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1.0
C,DivisionByZero,"int pop = 5000;
int area = 0;
int dens = pop / area;","int pop = 5000;
int area = 0;
int dens = (area > 0) ? pop / area : 0;",3.0
Python,TypeMismatch,"data = '100'
percentage = (data / 1000) * 100","data = 100
percentage = (data / 1000) * 100",2.0
Python,MissingImport,now = datetime.now(),"from datetime import datetime
now = datetime.now()",1.0
Java,NoError,public class Main {\n    public static void main(String[] args) {\n        for (int i = 0; i < 10; i++) {\n            System.out.println(i);\n        }\n    }\n},public class Main {\n    public static void main(String[] args) {\n        for (int i = 0; i < 10; i++) {\n            System.out.println(i);\n        }\n    }\n},
C++,MissingDelimiter,int y = 20,int y = 20;,1.0
C,InvalidAssignment,"""string"" = value;",,
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1.0
Python,WildcardImport,from datetime import *,"from datetime import datetime, timedelta",1.0
Java,MissingDelimiter,"public class Test {
    public void run() {
        int x = 5
    }
}","public class Test {
    public void run() {
        int x = 5;
    }
}",3.0
Python,MissingDelimiter,"def function_6()
    return 53",,
C++,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2.0
Python,DivisionByZero,"def calculate():
    denominator = 0
    return 98 / denominator",,
Python,LineTooLong,print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),"print(
    'This is an extremely long string '
    'split across multiple lines'
)",1.0
C,MissingDelimiter,return 26,,
Java,DivisionByZero,"double a = 50.0;
double b = 0.0;
double c = a / b;","double a = 50.0;
double b = 0.0;
double c = (b != 0) ? a / b : 0;",3.0
C,InvalidAssignment,16 = x;,,
Python,IndentationError,"if True:
x = 5","if True:
    x = 5",2.0
C++,TypeMismatch,"double pi = 3.14159;
char display = pi;","double pi = 3.14159;
int display = static_cast<int>(pi);",2.0
Python,WildcardImport,from os import *,"from os import path, getcwd",1.0
C,TypeMismatch,"unsigned int u = 100;
int i = u;","unsigned int u = 100;
int i = (int)u;",2.0
Java,TypeMismatch,boolean flag = 19;,,
Python,NoError,remainder = x % y,remainder = x % y,
C++,DivisionByZero,"int hours = 40;
int days = 0;
int avg = hours / days;","int hours = 40;
int days = 0;
int avg = (days > 0) ? hours / days : 0;",3.0
Java,TypeMismatch,"float f = 3.14;
int i = f + 10;","float f = 3.14f;
int i = (int)f + 10;",2.0
Python,MissingImport,"with zipfile.ZipFile('archive.zip') as z:
    z.extractall('output')",,
Python,UnusedVariable,"class Config:
    def __init__(self):
        self.version = '1.0'
        self.debug = False
        self.unused = None",,
C,TypeMismatch,"int x = 10;
float y = 3.14;
int z = x + y;","int x = 10;
float y = 3.14;
float z = x + y;",3.0
Python,MutableDefault,"def update(val, config={}): config['val'] = val","def update(val, config=None):
    if config is None: config = {}
    config['val'] = val",1.0
Java,TypeMismatch,int[] arr = 32;,,
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1.0
Python,DivisionByZero,x = 10 / 0,x = 10 / 2,1.0
C,UnreachableCode,"int compute(int x) {
    return x * 2;
    x = x + 1;
    return x;
}",,
Python,NoError,"class Node:
    def __init__(self, val):
        self.val = val
        self.next = None",,
C,DivisionByZero,int result = 10 / 0;,int result = 10 / 1;  /* Avoid division by zero */,1.0
C++,MissingDelimiter,"vector<int> vec
vec.push_back(5);","vector<int> vec;
vec.push_back(5);",1.0
C++,UnclosedString,"cout << ""Hello;","cout << ""Hello"";",1.0
Java,InvalidAssignment,5 = x;,int x = 5;,1.0
Java,TypeMismatch,"String price = ""100"";
double tax = price * 0.1;","double price = 100;
double tax = price * 0.1;",2.0
C,UndeclaredIdentifier,"#include <stdio.h>
int main() {
    for (int i = 0; i < max; i++) {
        printf(""%d\n"", i);
    }
    return 0;
}",,
C,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1.0
Java,MissingDelimiter,char c = 'A',,
C,DivisionByZero,"float calculate() {
    int denominator = 0;
    return 89 / denominator;
}",,
Python,NameError,result = unknown_function(10),,
Python,NoError,average = sum(numbers) / len(numbers),average = sum(numbers) / len(numbers),
C,MissingInclude,"int main() { printf(""Hello""); return 0; }","#include <stdio.h>
int main() { printf(""Hello""); return 0; }",1.0
Python,MissingImport,"random.randint(1, 10)","import random
random.randint(1, 10)",1.0
C,InfiniteLoop,"for (;;) { printf(""loop""); }","for (int i = 0; i < 10; i++) { printf(""loop""); }",1.0
Python,InvalidAssignment,5 = x,x = 5,1.0
C++,MissingDelimiter,int x = 10,int x = 10;,1.0
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2.0
Python,MissingDelimiter,"try
    pass
except Exception
    pass",,
C,TypeMismatch,"int value = ""string"";",,
C++,MissingInclude,int main() { cin >> x; return 0; },"#include <iostream>
using namespace std;
int main() { int x; cin >> x; return 0; }",1.0
Python,MissingDelimiter,"for i in range(13)
    print(i)",,
Python,IndentationError,"for i in range(5):
print(i)","for i in range(5):
    print(i)",2.0
C++,DivisionByZero,int r = 75 / (c - c);,"int r = 75 / max(c - c, 1);",1.0
C,MissingDelimiter,int y = 20,int y = 20;,1.0
C,DuplicateDefinition,"#include <stdio.h>
void greet() { printf(""Hello\n""); }
void greet() { printf(""Hi\n""); }
int main() {
    greet();
    return 0;
}",,
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1.0
Python,LineTooLong,"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)","result = very_long_function_name(
    arg1, arg2, arg3, arg4,
    arg5, arg6, arg7, arg8
)",1.0
Python,MissingImport,now = datetime.now(),"from datetime import datetime
now = datetime.now()",1.0
C++,TypeMismatch,"int x = ""hello"";","string x = ""hello"";",1.0
